Epoch [141/1000], Train Loss: 7.1846, Val Loss: 7.2306
Epoch [142/1000], Train Loss: 7.1768, Val Loss: 7.2249
Epoch [143/1000], Train Loss: 7.1709, Val Loss: 7.2192
Epoch [144/1000], Train Loss: 7.1654, Val Loss: 7.2135
Epoch [145/1000], Train Loss: 7.1582, Val Loss: 7.2078
Epoch [146/1000], Train Loss: 7.1512, Val Loss: 7.2022
Epoch [147/1000], Train Loss: 7.1447, Val Loss: 7.1967
Epoch [148/1000], Train Loss: 7.1389, Val Loss: 7.1912
Epoch [149/1000], Train Loss: 7.1340, Val Loss: 7.1857
Epoch [150/1000], Train Loss: 7.1279, Val Loss: 7.1803
Epoch [151/1000], Train Loss: 7.1214, Val Loss: 7.1749
Epoch [152/1000], Train Loss: 7.1153, Val Loss: 7.1695
Epoch [153/1000], Train Loss: 7.1102, Val Loss: 7.1642
Epoch [154/1000], Train Loss: 7.1042, Val Loss: 7.1589
Epoch [155/1000], Train Loss: 7.0981, Val Loss: 7.1536
Epoch [156/1000], Train Loss: 7.0936, Val Loss: 7.1484
Epoch [157/1000], Train Loss: 7.0861, Val Loss: 7.1432
Epoch [158/1000], Train Loss: 7.0796, Val Loss: 7.1381
Epoch [159/1000], Train Loss: 7.0749, Val Loss: 7.1330
Epoch [160/1000], Train Loss: 7.0705, Val Loss: 7.1279
Epoch [161/1000], Train Loss: 7.0642, Val Loss: 7.1229
Epoch [162/1000], Train Loss: 7.0582, Val Loss: 7.1179
Epoch [163/1000], Train Loss: 7.0521, Val Loss: 7.1129
Epoch [164/1000], Train Loss: 7.0475, Val Loss: 7.1080
Epoch [165/1000], Train Loss: 7.0426, Val Loss: 7.1031
Epoch [166/1000], Train Loss: 7.0357, Val Loss: 7.0983
Epoch [167/1000], Train Loss: 7.0299, Val Loss: 7.0935
Epoch [168/1000], Train Loss: 7.0249, Val Loss: 7.0887
Epoch [169/1000], Train Loss: 7.0198, Val Loss: 7.0839
Epoch [170/1000], Train Loss: 7.0145, Val Loss: 7.0792
Epoch [171/1000], Train Loss: 7.0100, Val Loss: 7.0745
Epoch [172/1000], Train Loss: 7.0046, Val Loss: 7.0698
Epoch [173/1000], Train Loss: 6.9998, Val Loss: 7.0652
Epoch [174/1000], Train Loss: 6.9941, Val Loss: 7.0606
Epoch [175/1000], Train Loss: 6.9888, Val Loss: 7.0560
Epoch [176/1000], Train Loss: 6.9836, Val Loss: 7.0515
Epoch [177/1000], Train Loss: 6.9787, Val Loss: 7.0470
Epoch [178/1000], Train Loss: 6.9739, Val Loss: 7.0425
Epoch [179/1000], Train Loss: 6.9685, Val Loss: 7.0380
Epoch [180/1000], Train Loss: 6.9639, Val Loss: 7.0336
Epoch [181/1000], Train Loss: 6.9584, Val Loss: 7.0292
Epoch [182/1000], Train Loss: 6.9529, Val Loss: 7.0249
Epoch [183/1000], Train Loss: 6.9488, Val Loss: 7.0205
Epoch [184/1000], Train Loss: 6.9442, Val Loss: 7.0162
Epoch [185/1000], Train Loss: 6.9393, Val Loss: 7.0120
Epoch [186/1000], Train Loss: 6.9342, Val Loss: 7.0077
Epoch [187/1000], Train Loss: 6.9295, Val Loss: 7.0035
Epoch [188/1000], Train Loss: 6.9242, Val Loss: 6.9993
Epoch [189/1000], Train Loss: 6.9197, Val Loss: 6.9951
Epoch [190/1000], Train Loss: 6.9155, Val Loss: 6.9910
Epoch [191/1000], Train Loss: 6.9108, Val Loss: 6.9869
Epoch [192/1000], Train Loss: 6.9049, Val Loss: 6.9828
Epoch [193/1000], Train Loss: 6.9012, Val Loss: 6.9788
Epoch [194/1000], Train Loss: 6.8957, Val Loss: 6.9748
Epoch [195/1000], Train Loss: 6.8909, Val Loss: 6.9708
Epoch [196/1000], Train Loss: 6.8879, Val Loss: 6.9668
Epoch [197/1000], Train Loss: 6.8832, Val Loss: 6.9628
Epoch [198/1000], Train Loss: 6.8784, Val Loss: 6.9589
Epoch [199/1000], Train Loss: 6.8736, Val Loss: 6.9550
Epoch [200/1000], Train Loss: 6.8692, Val Loss: 6.9512
Epoch [201/1000], Train Loss: 6.8649, Val Loss: 6.9473
Epoch [202/1000], Train Loss: 6.8608, Val Loss: 6.9435
Epoch [203/1000], Train Loss: 6.8570, Val Loss: 6.9397
Epoch [204/1000], Train Loss: 6.8516, Val Loss: 6.9359
Epoch [205/1000], Train Loss: 6.8475, Val Loss: 6.9321
Epoch [206/1000], Train Loss: 6.8426, Val Loss: 6.9284
Epoch [207/1000], Train Loss: 6.8390, Val Loss: 6.9247
Epoch [208/1000], Train Loss: 6.8352, Val Loss: 6.9210
Epoch [209/1000], Train Loss: 6.8295, Val Loss: 6.9173
Epoch [210/1000], Train Loss: 6.8254, Val Loss: 6.9137
Epoch [211/1000], Train Loss: 6.8219, Val Loss: 6.9101
Epoch [212/1000], Train Loss: 6.8180, Val Loss: 6.9065
Epoch [213/1000], Train Loss: 6.8141, Val Loss: 6.9029
Epoch [214/1000], Train Loss: 6.8081, Val Loss: 6.8994
Epoch [215/1000], Train Loss: 6.8056, Val Loss: 6.8959
Epoch [216/1000], Train Loss: 6.8006, Val Loss: 6.8924
Epoch [217/1000], Train Loss: 6.7971, Val Loss: 6.8888
Epoch [218/1000], Train Loss: 6.7923, Val Loss: 6.8854
Epoch [219/1000], Train Loss: 6.7893, Val Loss: 6.8819
Epoch [220/1000], Train Loss: 6.7847, Val Loss: 6.8785
Epoch [221/1000], Train Loss: 6.7807, Val Loss: 6.8751
Epoch [222/1000], Train Loss: 6.7774, Val Loss: 6.8717
Epoch [223/1000], Train Loss: 6.7714, Val Loss: 6.8684
Epoch [224/1000], Train Loss: 6.7688, Val Loss: 6.8650
Epoch [225/1000], Train Loss: 6.7653, Val Loss: 6.8617
Epoch [226/1000], Train Loss: 6.7621, Val Loss: 6.8584
Epoch [227/1000], Train Loss: 6.7568, Val Loss: 6.8551
Epoch [228/1000], Train Loss: 6.7537, Val Loss: 6.8518
Epoch [229/1000], Train Loss: 6.7500, Val Loss: 6.8486
Epoch [230/1000], Train Loss: 6.7462, Val Loss: 6.8454
Epoch [231/1000], Train Loss: 6.7423, Val Loss: 6.8422
Epoch [232/1000], Train Loss: 6.7381, Val Loss: 6.8390
Epoch [233/1000], Train Loss: 6.7343, Val Loss: 6.8358
Epoch [234/1000], Train Loss: 6.7311, Val Loss: 6.8327
Epoch [235/1000], Train Loss: 6.7275, Val Loss: 6.8295
Epoch [236/1000], Train Loss: 6.7247, Val Loss: 6.8264
Epoch [237/1000], Train Loss: 6.7186, Val Loss: 6.8233
Epoch [238/1000], Train Loss: 6.7165, Val Loss: 6.8202
Epoch [239/1000], Train Loss: 6.7126, Val Loss: 6.8172
Epoch [240/1000], Train Loss: 6.7089, Val Loss: 6.8141
Epoch [241/1000], Train Loss: 6.7052, Val Loss: 6.8111
Epoch [242/1000], Train Loss: 6.7014, Val Loss: 6.8081
Epoch [243/1000], Train Loss: 6.6982, Val Loss: 6.8051
Epoch [244/1000], Train Loss: 6.6951, Val Loss: 6.8021
Epoch [245/1000], Train Loss: 6.6908, Val Loss: 6.7991
Epoch [246/1000], Train Loss: 6.6877, Val Loss: 6.7962
Epoch [247/1000], Train Loss: 6.6843, Val Loss: 6.7933
Epoch [248/1000], Train Loss: 6.6800, Val Loss: 6.7903
Epoch [249/1000], Train Loss: 6.6779, Val Loss: 6.7874
Epoch [250/1000], Train Loss: 6.6735, Val Loss: 6.7846
Epoch [251/1000], Train Loss: 6.6707, Val Loss: 6.7817
Epoch [252/1000], Train Loss: 6.6665, Val Loss: 6.7789
Epoch [253/1000], Train Loss: 6.6632, Val Loss: 6.7760
Epoch [254/1000], Train Loss: 6.6592, Val Loss: 6.7732
Epoch [255/1000], Train Loss: 6.6563, Val Loss: 6.7704
Epoch [256/1000], Train Loss: 6.6526, Val Loss: 6.7676
Epoch [257/1000], Train Loss: 6.6501, Val Loss: 6.7648
Epoch [258/1000], Train Loss: 6.6475, Val Loss: 6.7621
Epoch [259/1000], Train Loss: 6.6436, Val Loss: 6.7593
Epoch [260/1000], Train Loss: 6.6406, Val Loss: 6.7566
Epoch [261/1000], Train Loss: 6.6364, Val Loss: 6.7539
Epoch [262/1000], Train Loss: 6.6334, Val Loss: 6.7512
Epoch [263/1000], Train Loss: 6.6305, Val Loss: 6.7485
Epoch [264/1000], Train Loss: 6.6274, Val Loss: 6.7458
Epoch [265/1000], Train Loss: 6.6235, Val Loss: 6.7431
Epoch [266/1000], Train Loss: 6.6202, Val Loss: 6.7405
Epoch [267/1000], Train Loss: 6.6180, Val Loss: 6.7378
Epoch [268/1000], Train Loss: 6.6131, Val Loss: 6.7352
Epoch [269/1000], Train Loss: 6.6111, Val Loss: 6.7326
Epoch [270/1000], Train Loss: 6.6079, Val Loss: 6.7300
Epoch [271/1000], Train Loss: 6.6046, Val Loss: 6.7275
Epoch [272/1000], Train Loss: 6.6011, Val Loss: 6.7249
Epoch [273/1000], Train Loss: 6.5982, Val Loss: 6.7223
Epoch [274/1000], Train Loss: 6.5955, Val Loss: 6.7198
Epoch [275/1000], Train Loss: 6.5911, Val Loss: 6.7173
Epoch [276/1000], Train Loss: 6.5892, Val Loss: 6.7147
Epoch [277/1000], Train Loss: 6.5853, Val Loss: 6.7122
Epoch [278/1000], Train Loss: 6.5826, Val Loss: 6.7097
Epoch [279/1000], Train Loss: 6.5799, Val Loss: 6.7073
Epoch [280/1000], Train Loss: 6.5765, Val Loss: 6.7048
Epoch [281/1000], Train Loss: 6.5738, Val Loss: 6.7023
Epoch [282/1000], Train Loss: 6.5699, Val Loss: 6.6999
Epoch [283/1000], Train Loss: 6.5669, Val Loss: 6.6975
Epoch [284/1000], Train Loss: 6.5640, Val Loss: 6.6950
Epoch [285/1000], Train Loss: 6.5621, Val Loss: 6.6926
Epoch [286/1000], Train Loss: 6.5582, Val Loss: 6.6902
Epoch [287/1000], Train Loss: 6.5559, Val Loss: 6.6879
Epoch [288/1000], Train Loss: 6.5525, Val Loss: 6.6855
Epoch [289/1000], Train Loss: 6.5496, Val Loss: 6.6831
Epoch [290/1000], Train Loss: 6.5459, Val Loss: 6.6808
Epoch [291/1000], Train Loss: 6.5441, Val Loss: 6.6784
Epoch [292/1000], Train Loss: 6.5411, Val Loss: 6.6761
Epoch [293/1000], Train Loss: 6.5386, Val Loss: 6.6738
Epoch [294/1000], Train Loss: 6.5353, Val Loss: 6.6715
Epoch [295/1000], Train Loss: 6.5322, Val Loss: 6.6692
Epoch [296/1000], Train Loss: 6.5303, Val Loss: 6.6669
Epoch [297/1000], Train Loss: 6.5266, Val Loss: 6.6646
